,value,description
0,1451500,"Undefined Value for Wales (geography), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
1,29800,"Undefined Value for Wales (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
2,763500,"Undefined Value for Wales (geography), Males (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
3,25500,"Undefined Value for Wales (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
4,688000,"Undefined Value for Wales (geography), Females (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
5,4400,"Undefined Value for Wales (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
6,1236300,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
7,27600,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
8,617900,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
9,23200,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
10,618300,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
11,4400,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
12,1060500,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
13,28500,"Undefined Value for Wales (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
14,658700,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
15,24600,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
16,401800,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
17,3900,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
18,906800,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
19,26500,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
20,540700,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
21,22600,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
22,366100,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
23,3900,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
24,1161000,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
25,26900,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
26,584100,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Males (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
27,22700,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
28,576900,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Females (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
29,4100,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
30,1161000,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
31,26900,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
32,584100,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2019-Jun 2020 from annual population survey - regional - occupation by sex by employment type"
