,value,description
0,1441400,"Undefined Value for Wales (geography), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
1,27100,"Undefined Value for Wales (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
2,760800,"Undefined Value for Wales (geography), Males (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
3,23000,"Undefined Value for Wales (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
4,680600,"Undefined Value for Wales (geography), Females (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
5,4100,"Undefined Value for Wales (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
6,1226100,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
7,24600,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
8,613700,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
9,20700,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
10,612400,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
11,3900,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
12,1033400,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
13,25200,"Undefined Value for Wales (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
14,647100,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
15,21700,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
16,386300,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
17,3500,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
18,882200,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
19,23400,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
20,531400,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
21,20200,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
22,350800,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
23,3200,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
24,1140300,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
25,23300,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
26,574000,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Males (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
27,19700,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
28,566300,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Females (Sex), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
29,3600,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
30,1140300,"Undefined Value for Wales (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Count (measure) for Jul 2017-Jun 2018 from annual population survey - regional - occupation by sex by employment type"
