,value,description
0,1455900,"Undefined Value for Wales (geography), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
1,26500,"Undefined Value for Wales (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
2,763500,"Undefined Value for Wales (geography), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
3,22000,"Undefined Value for Wales (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
4,692400,"Undefined Value for Wales (geography), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
5,4500,"Undefined Value for Wales (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
6,1239400,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
7,23600,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
8,616600,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
9,19300,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
10,622700,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
11,4300,"Undefined Value for Wales (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
12,1054900,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
13,25100,"Undefined Value for Wales (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
14,657400,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
15,21300,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
16,397500,"Undefined Value for Wales (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2018-Jun 2019 from annual population survey - regional - occupation by sex by employment type"
